Name,Dirección,Ciudad,Provincia,LATITUD,LONGITUD
NTI 2013 - Cocemar Srl,AV. FACUNDO ZUBIRIA 4517 ESQ. CALLE PEDRO FERRE.,SANTA FE,Santa Fe,-31.6251230,-60.7055800
NTI 2013 - Berardi - Servicios Benavidez,RUTA 27 Y PANAMERICANA (A 3 CUADRAS),BENAVIDEZ - GBA,Buenos Aires,-34.4086111,-58.7255556
NTI 2014 - Diquegas – Los Olivos Gas,CALLE 122 N°716 ENTRE CALLES 46 Y 47,ENSENADA - GBA,Buenos Aires,-34.8984056,-57.9384750
NTI 2013 - Orbilex Sa,AV LAS MALVINAS 2145,CORDOBA,Córdoba,-31.3908583,-64.1437889
NTI 2013 - Benzin,AV ARMADA ARGENTINA 787,CORDOBA,Córdoba,-31.4581972,-64.2112550
NTI 2013 - Dufau Hnos Dos,"COLECTORA DE LA RUTA 3 KM 36,4",VIRREY DEL PINO - GBA,Buenos Aires,-34.8213220,-58.6416660
NTI 2014 - LOS QUIMBALETES GNC SRL,RUTA NACIONAL 38 - KM 63.5,VILLA GIARDINO,Córdoba,-31.0320610,-64.5042940
NTI 2013 - Combustible Barrancas ( Laboranti II),AUTOPISTA SANTA FE ACCESO BARRANCAS,BARRANCAS,Santa Fe,-32.2316100,-60.9915330
NTI 2014 - Villa Constitución – Gascom,AV PRESIDENTE PERON Y PRESBITERO SEGUNDO,VILLA CONSTITUCION,Santa Fe,-33.2375194,-60.3301722
NTI 2014 - Sinercom ,GENERAL PAZ 7500,SANTA FE (BARRIO GUADALUPE),Santa Fe,-31.6031287,-60.6744550
NTI 2014 - GNC Merlo Norte,IRIGOYEN Y SAN JUAN,MERLO  - GBA,Buenos Aires,-34.6588667,-58.7255250
NTI 2013 - Lanzoni Rossi San Andres de Giles,"RUTA 7 KM 101,8",SAN ANDRES DE GILES,Buenos Aires,-34.4550000,-59.4389750
NTI 2013 - Elisei - Junin,RUTA NAC 7 Y DR. BENITO DE MIGUEL,JUNIN,Buenos Aires,-34.6039890,-60.9650110
NTI 2014 - GAS FE ,HIPOLITO YRIGOYEN 5731 (RUTA 197) ESQ. SAAVEDRA LAMAS,JOSE C PAZ - GBA,Buenos Aires,-34.5375050,-58.7929050
NTI 2016 - C Y W COMBUSTIBLES SRL,RUTA NACIONAL 81,LAS LOMITAS,Formosa,-24.6994000,-60.5938800
PINAMOTOS SRL,AV. BUNGE E INTERMEDANOS,PINAMAR,Buenos Aires,-37.1094444,-56.8777778
NTI 2015 - GONZALEZ JOSE ROBERTO (RIVADAVIA),RUTA NAC. 226 Y RIVADAVIA,OLAVARRIA,Buenos Aires,-36.8783340,-60.3032890
NTI 2014 - ALT - Alta Gracia,RUTA 5 Y CALLE 14,ALTA GRACIA,Córdoba,-31.6683550,-64.4102490
NTI 2014 - Alt Omega,LUCIO V.ROSSI Nº41 ESQ.RUTA PROV 45,ALTA GRACIA,Córdoba,-31.6452420,-64.4334290
NTI 2014 - MATTEAZZI OYHENART CLAUDIA ROSANA,RUTA NACIONAL 152 - KM 28,GRAL. ACHA,La Pampa,-37.3662370,-64.6003340
NTI 2014 - Gonzalez Jose Roberto,AV.AVELLANEDA Y URQUIZA 970,OLAVARRIA,Buenos Aires,-36.9143500,-60.3272460
NTI 2014 - BACIK JORGE Y PADUA JORGE,EVA PERON  N° 6205,MERLO (LIBERTAD) - GBA,Buenos Aires,-34.7047361,-58.7052889
NTI 2016 - GNC SAN MIGUEL SRL,PRESIDENTE PERON 2538,SAN MIGUEL - GBA,Buenos Aires,-34.5343530,-58.7224700
NTI 2015 - LABANDOCZKA SILVIA MARIANA,PADRE L SARLEY 0,COLONIA 25 DE MAYO,Misiones,-27.3687300,-54.7521600
NTI 2014 - F.O.D.A. S.R.L.,"RUTA NACIONAL 118 KM 64,5",SANTA ROSA,Corrientes,-28.2604410,-58.1119960
NTI 2014 - EXFACO PASO DEL REY,INT. GNECCO ESQ QUILMES,PASO DEL REY - GBA,Buenos Aires,-34.6287250,-58.7438306
NTI 2014 - PETRO ITATI,AV.CENTENARIO 5042,CORRIENTES,Corrientes,-27.4768900,-58.7896200
"NTI 2015 - SBARBATI, FELICE Y MAGNO",AV. AVELLANEDA Y NUMA AYRINHAC,PIGÜE,Buenos Aires,-37.5981401,-62.4091315
NTI 2014 - 7 y 511 S.A (Ringuelet),CALLE 7 Y 511,LA PLATA,Buenos Aires,-34.8831860,-57.9926440
NTI 2014 - COREY,AV. HIPOLITO YRIGOYEN 18501,LONGCHAMPS - GBA,Buenos Aires,-34.8625300,-58.3897800
NTI 2015 - MANILA SRL,RUTA N°3 ENTRE SAAVEDRA Y LOPEZ,PIRANE,Formosa,-25.7410300,-59.1012200
NTI 2014 - COSTACOM SA,"RUTA NAC. 11 KM. 327,6",MAR DEL TUYU,Buenos Aires,-36.5611639,-56.7166667
NTI 2014 - MANSUE S.A.,ALVEAR 2080,VILLA BALLESTER - GBA,Buenos Aires,-34.5451450,-58.5487060
NTI 2014 - OESTE GNC S.A,AV. GAONA 4192,CIUDADELA - GBA,Buenos Aires,-34.6350240,-58.5448260
NTI 2015 - GENEPLUS SRL,EVA PERON 3302,TEMPERLEY - GBA,Buenos Aires,-34.7596140,-58.3585110
NTI 2015 - COMBUSTIBLES SERRANOS S.A. (ESPAÑA),AV. ESPAÑA 643,LA FALDA,Córdoba,-31.1005750,-64.4829340
GNC MERLO OIL SRL ,EMILIO ZOLA 21,MERLO  - GBA,Buenos Aires,-34.6693180,-58.7454000
NTI 2017 - MIG MAR VIDAL S.A.,SAN MARTIN 299,CORONEL VIDAL,Buenos Aires,-37.4484682,-57.7295959
NTI 2015 - DALMASSO PATRICIA LORENA,PELLEGRINI 705,PIRANE,Formosa,-25.7402200,-59.1083600
ATREU-CO COOPERATIVA AGROPECUARIA,RUTA 1 ACCESO SUR,MACACHIN,La Pampa,-37.1525000,-63.6663890
NTI 2016 - YAPAI SRL - PIEDRITAS,"RUTA 33 KM. 464,8",PIEDRITAS,Buenos Aires,-34.7805400,-63.0013000
NTI 2015 - CMF SA,CALLE 7 Y 85,LA PLATA,Buenos Aires,-34.9408528,-57.9143466
NTI 2015 - ORTFRE  SRL,RIVADAVIA AV. 10301,CAPITAL FEDERAL,Capital Federal,-34.6387300,-58.5087400
NTI 2016 - SERVICIOS LER,CAMINO DE LA VIRGEN MARIA ( EX AV. DE LA COOPERACION) Y AV. LOS NOGALES,TAPIALES - GBA,Buenos Aires,-34.7090050,-58.5045670
NTI 2015 - CEPIA SOCIEDAD ANONIMA,REPUBLICA ARGENTINA 3205,CLAYPOLE - GBA,Buenos Aires,-34.8156860,-58.3659860
NTI 2015 - ESTACION RUTA 1422 S.R.L,AV.GRAL LEMOS (RUTA 202 Y LOS EUCALIPTOS),VILLA DE MAYO - GBA,Buenos Aires,-34.5246210,-58.6812890
NTI 2015 - SEFAC PEHUAJO S A,ACCESO GUEMES 410 ESQ.M.CORONADO,PEHUAJO,Buenos Aires,-35.8161760,-61.9102140
NTI 2019 - ALT (rotonda),RUTA C45 Y GUEMES (ROTONDA),ALTA GRACIA,Córdoba,-31.6355632,-64.4345139
NTI 2015 - TEXA PETROL SA,AV. EVA PERON (EX PIERRESTEGUI) 4100,MORON - GBA,Buenos Aires,-34.6928970,-58.6371020
NTI 2015 - GNC CICALV S.R.L. (ITUZAINGO),AV. RIVADAVIA 23190 ESQUINA PINTOS,ITUZAINGO - GBA,Buenos Aires,-34.6644700,-58.6870400
NTI 2015 - LA RUTA,RUTA N°12 KM 1028 ,CORRIENTES,Corrientes,-27.5052080,-58.7742860
NTI 2015 - GNC FERRARI SRL (BALBIN),RICARDO BALBIN 7520,MERLO  - GBA,Buenos Aires,-34.7043940,-58.7775890
NTI 2015 - LA BARRANCA S.R.L.,TIERRAS DEL FUEGO 2019 Y RUTA A005,RIO CUARTO,Córdoba,-33.0921600,-64.3538700
NTI 2015 - 72 GAS SA,CALLE 72 N° 780,LA PLATA,Buenos Aires,-34.9347540,-57.9309190
NTI 2016 - LMG FULL SERVICE SA,AV MITRE Y GUEMES,BERISSO - GBA,Buenos Aires,-34.8874130,-57.8692270
NTI 2016 - SCHOLLES OMAR ALBERTO,RUTA PROV 13 Y NESTOR KIRCHNER,SAN VICENTE,Misiones,-27.0106594,-54.4690083
NTI 2015 - ALCOR SERVICE SA,AMANCIO ALCORTA 500,BOULOGNE - GBA,Buenos Aires,-34.5218300,-58.5632400
NTI 2015 - WINE GAS SOCIEDAD ANONIMA,RUTA NACIONAL 40 Y RUTA PROV N° 34,GENERAL LAVALLE,Mendoza,-32.7168300,-68.6792900
NTI 2015 - EL YACARE,RUTA NAC. N° 14 KM 600,ALVEAR,Corrientes,-29.0860900,-56.5608300
NTI 2017 - ENERTRAC,JUAN B JUSTO 5225,CÓRDOBA,Córdoba,-31.3617669,-64.1765290
NTI 2015 - COMBUSTIBLES ALTERNATIVOS SA,LARRALDE 3186 Y RUTA 197,TALAR DE PACHECO - GBA,Buenos Aires,-34.4451200,-58.5975300
NTI 2016 - LAS LOMAS S.R.L.,RUTA NAC 9 Y PCIAL 66 0,SAN SALVADOR DE JUJUY,Jujuy,-24.2177400,-65.2781800
NTI 2017 - GRUPO LV,RUTA NAC. N° 12 Y AV. 147,POSADAS,Misiones,-27.3995140,-55.9512880
NTI 2016 - RIVARA,"RUTA NACIONAL 5, KM. 190.5",ALBERTI,Buenos Aires,-35.0568640,-60.2711880
NTI 2016 - LIMA MARIA ELENA (YACARE II),AV ARTURO FRONDIZI 2501,PASO DE LOS LIBRES,Corrientes,-29.7177500,-57.1065400
NTI 2016 -  AG GAN SRL,AV.URUGUAY Y AV.KENNEDY,VILLA ANGELA,Chaco,-27.5736390,-60.7227010
NTI 2016 - EL RINCON DE PIEDRA DEL AGUILA SRL,INDEPENDENCIA 710,NEUQUEN,Neuquen,-38.9549180,-68.0490700
NTI 2016 - ECONOMIC FUEL SRL,BVARD CONCORDIA 885,SAN SALVADOR,Entre Rios,-31.6170031,-58.4975046
NTI 2016 - GNC DEL CARMEN,RUTA 3 KM 67.200,CAÑUELAS - GBA,Buenos Aires,-35.0612480,-58.7357600
NTI 2016 - AGROCOMB (Mercado Central),CIRCUNVALACION Y CALLE DE RIEGO (MERCADO CENTRAL),TAPIALES - GBA,Buenos Aires,-34.7065870,-58.4962450
NTI 2016 - AMBROSETTO SANDRA RAQUEL,RUTA NACIONAL 251 119,GENERAL CONESA,Rio Negro,-40.1039400,-64.4735100
NTI 2016 - ESA 2000 SA,"SARMIENTO 338 (RUTA 205 KM 40,3)",TRISTAN SUAREZ - GBA,Buenos Aires,-34.8922500,-58.5702100
NTI 2016 - GILBAR COMBUSTIBLES SA,HIPOLITO YRIGOYEN 29213,ALEJANDRO KORN - GBA,Buenos Aires,-34.9728340,-58.3819220
NTI 2016 - URQUIZA COMBUSTIBLES S.A.,AMEGHINO 799,PERGAMINO,Buenos Aires,-33.8807600,-60.5757300
NTI 2016 - GAS LH,AV 66 ESQUINA 143,LA PLATA,Buenos Aires,-34.9602790,-57.9721830
NTI 2016 - CAVIRAMA S.R.L.,AV. WOLMMAN Y RN 34,GRAL SAN MARTIN,Jujuy,-23.8256900,-64.7996830
NTI 2016 - JOSE AFID SCHAMUN SRL (LAVALLE),RN 157 KM 1094,LAVALLE,Santiago del Estero,-28.1927050,-65.1002680
NTI 2016 - GNC DEL VISO,ARTURO UMBERTO ILLIA  KM 44.300 ESQ. GRAL.VIAMONTE,DEL VISO - GBA,Buenos Aires,-34.4558850,-58.8167840
TREMEN SRL,AV. SAN MARTIN 647,BARILOCHE,Rio Negro,-41.1328850,-71.3182800
NTI 2017 - LOMFAKO,RUTA NACIONAL N° 14  KM 46.5,GUALEGUAYCHU,Entre Rios,-33.1161940,-58.6497550
NTI 2016 - GUSTAVO JULIAN Y MIGUEL A. ZUAIN SH,RN 22 KM 999,CHOELE CHOEL,Rio Negro,-39.2712100,-65.6706600
NTI 2016 - COMBUSTIBLES LITORAL S.A.,RUTA NACIONAL N°14 KM 83,GUALEGUAYCHU,Entre Rios,-32.8083000,-58.5230000
NTI 2017 - GRIS S.A.,CARRIL SARMIENTO 1865 ,GODOY CRUZ,Mendoza,-32.9421100,-68.8256000
NTI 2017 - FASENA ENERGÍA SA,AV SABATINI 5815,CÓRDOBA,Córdoba,-31.4616760,-64.1061700
NTI 2017 - LA LOMA DE MATHEU SA,AV SARMIENTO (RN 25 KM 25) ESQUINA SAN ALEJANDRO,MATHEU - GBA,Buenos Aires,-34.3754000,-58.8155400
NTI 2017 - SERVIQUIL SRL,AV. MOSCONI Y TRIUNVIRATO 2700,QUILMES - GBA,Buenos Aires,-34.7530220,-58.2896010
NTI 2017 - COMBUSTIBLES DEL OESTE SA (sucesor de Perri combustibles),AVENIDA DON BOSCO 2805,MORON - GBA,Buenos Aires,-34.6660267,-58.6007323
NTI 2017 - LAND OIL,RUTA 234 Y HUELLEITUE ,JUNIN DE LOS ANDRES,Neuquen,-39.9331500,-71.0684900
NTI 2017 - ABELAR SERVICIOS S.R.L.,"RUTA 7, KM 953",LAS CATITAS,Mendoza,-33.2995370,-68.0207456
NTI 2017 - PETROCOC S.R.L.,EVA PERON 5303,ROSARIO,Santa Fe,-32.9362315,-60.6961395
NTI 2017 - COMBELPA SRL,AV CAP. CLAUDIO ROSALES,EL PALOMAR - GBA,Buenos Aires,-34.6203468,-58.5982144
NTI 2017 - PULQUI PUNTANO S.A.,EVA PERON Y FUERZA AEREA ARGENTINA,SAN LUIS,San Luis,-33.2841323,-66.3434689
NTI 2017 - DEL VALLE COMUNICACIONES,Av Güemes 1275,CATAMARCA,Catamarca,-28.4757756,-65.7687624
NTI 2018 - LFS Combustibles  S.A.,PANAMERICANA Y 202,DON TORCUATO - GBA,Buenos Aires,-34.4850074,-58.6135126
NTI 2017 - ORO NEGRO,AV. DON BOSCO Y BLAS PARERA,PARANA,Entre Rios,-31.7365267,-60.4930532
NTI 2018 - GIANESE EDUARDO DANIEL - SANTA ROSA,SANTA ROSA 1885,CASTELAR - GBA,Buenos Aires,-34.6390390,-58.6556848
NTI 2017 - LAND OIL S.R.L. (San Martin),SAN MARTIN 4216,NEUQUEN,Neuquen,-38.9546788,-68.1178045
NTI 2017 - PETROTRES LA HUELLA,RUTA NAC 3 Y GRAL. SAN MARTIN,TRES ARROYOS,Buenos Aires,-38.3650327,-60.2913238
NTI 2017 - PETROISLAND S.A.,AV ANDRES ROLON 1002,SAN ISIDRO  - GBA,Buenos Aires,-34.4734910,-58.5345119
NTI 2018 - PARQUE AYERZA SCA,SARMIENTO 2003,CASTELAR - GBA,Buenos Aires,-34.6463240,-58.6361570
NTI 2017 - MELIPAL S.A UTN,SAN NICOLAS DE BARI ESQ. PORTEZUE,LA RIOJA,La Rioja,-29.4105794,-66.8325242
NTI 2018 - DEL VALLE GNC SRL,ITUZAINGO 42,SAN LUIS,San Luis,-33.3090780,-66.3274730
NTI 2017 - POTENXA S.R.L.,JOSE LEON LARRE 806,GONZALEZ CATAN - GBA,Buenos Aires,-34.7716399,-58.6496882
NTI 2017 - LOS QUIMBALETES GNC SRL,RN 38 ESQ. EMPALME TANTI,VILLA DEL LAGO,Córdoba,-31.3698960,-64.5118370
NTI 2018 - JACOB MIGUEL ANGEL,PTE PERON 141,BOVRIL,Entre Rios,-31.3411355,-59.4479179
NTI 2018 - La Cuarta S.A.,AV. PERÓN (RUTA NC. 9) Y SANTA FÉ,RIO SEGUNDO,Córdoba,-31.6496890,-63.9033420
NTI 2018 - TODO SERVICIOS S.R.L.,LOS OLMOS 727,FUNES,Santa Fe,-32.9232922,-60.8001240
NTI 2018 - LUBRICANTES SAN LORENZO Bv. URQUIZA,BV URQUIZA ESQ MANDOLINI,SAN LORENZO,Santa Fe,-32.7472981,-60.7556505
NTI 2018 - FS OCTANO SRL (Limache),EX COMBATIENTES DE MALVINAS Y ROTONDA LIMACHE,SALTA,Salta,-24.8312800,-65.4307700
NTI 2018 - La Regional Combustibles S.A. ,PADRE KREDER 2544,ESPERANZA,Santa Fe,-31.4401520,-60.9383350
ESQUINA KAIKEN S.A. SUCESOR DE 158250 - 229287,AV.MASSEY Y AMEGHINO,LINCOLN,Buenos Aires,-34.8693500,-61.5314710
NTI 2018 - SERVICIOS LUARCA S.A.,RUTA 25 Y DON BOSCO,MORENO - GBA,Buenos Aires,-34.6052620,-58.8194540
FS 2018 - DE LA VEGA ABELARDO,RIVADAVIA Y FEDERICI,RAWSON,Chubut,-43.2978260,-65.1045070
FS 2018 - DE LA VEGA ABELARDO,M.GUEMES Y J.MURGA,RAWSON,Chubut,-43.2956530,-65.0924360
FS 2018 - DE LA VEGA ABELARDO,MARIA EVA DUARTE 949,RAWSON,Chubut,-43.3081988,-65.0512807
FS 2018 - AGUSFED SA,RUTA 3 KM 1453,TRELEW,Chubut,-43.2878160,-65.2652000
FS 2018 - CV S.R.L.,RUTA NAC. 259 Y J. LEZAMA,ESQUEL,Chubut,-42.9067010,-71.2883860
FS 2018 - CYL S.R.L.,HIPOLITO IRIGOYEN Y JUAN B.JUSTO,COMODORO RIVADAVIA,Chubut,-45.8759110,-67.5019000
FS 2018 - ALMA SOCIEDAD ANONIMA,AV.DE LOS MINEROS Y J.A.ROCA,RIO TURBIO,Santa Cruz,-51.5390140,-72.3387640
FS 2018 - DIMSUR S.R.L.,RUTA NAC.3 Y CASTELLI,RIO GALLEGOS,Santa Cruz,-51.6262240,-69.2478190
FS 2018 - EGESUR S.A.,MARCELINO ALVAREZ Y POSADAS,RIO GALLEGOS,Santa Cruz,-51.6283058,-69.2010868
FS 2018 - ZONA CERO S.A.,RIVADAVIA 38,COMODORO RIVADAVIA,Chubut,-45.8618690,-67.4746460
FS 2018 - VALLE 16 DE OCTUBRE SRL,AV.PATAGONIA Y RHIS THOMAS ,TREVELIN,Chubut,-43.0733150,-71.4603590
FS 2018 - TRES GLACIARES SRL,AV.DEL LIBERTADOR Y GUILLERMO EIKE,EL CALAFATE,Santa Cruz,-50.3387780,-72.2772010
FS 2018 - EL CAMARUCO S.R.L..,AV. RIVADAVIA Y ALVEAR,COMODORO RIVADAVIA,Chubut,-45.8625631,-67.4970173
FS 2018 - TORO PATRICIA VERONICA,AV.ESTRADA Y ROCA,SARMIENTO,Chubut,-45.5903550,-69.0713140
FS 2018 - ESTACION DE SERVICIO DEL CENTRO SRL,RIVADAVIA E IRIGOYEN,PICO TRUNCADO,Santa Cruz,-46.7987050,-67.9600830
FS 2018 - EL TEHUELCHE S.R.L.,AV. RIVADAVIA 2750,COMODORO RIVADAVIA,Chubut,-45.8621310,-67.5163170
FS 2018 - EL TEHUELCHE S.R.L.,AV. KENNEDY E ISLAS LEONES,COMODORO RIVADAVIA,Chubut,-45.8623800,-67.5166550
FS 2018 - VERTAS S.A.,NUEVO TRAZADO DE LA RUTA N°3,CALETA OLIVIA,Santa Cruz,-46.4611270,-67.5164490
G&C SRL (Sucesión El Tehuelche SRL),RUTA PCIAL.N°20 Y AV.REGIMIENTO DE INFANTERIA N°25,SARMIENTO,Chubut,-45.5995376,-69.0690744
FS 2018 - VERTAS S.A.,SAN MARTIN 590,CALETA OLIVIA,Santa Cruz,-46.4415700,-67.5172500
"FS 2018 - SANDIN HECTOR, SANDIN FABIOLA Y SAN",RUTA PROV.52 Y CAMINO A AEROPUERTO,PERITO MORENO,Santa Cruz,-46.5828290,-70.9282127
FS 2018 - RAPISUR S.A.,PERITO MORENO Y MARIANO MORENO,RIO GALLEGOS,Santa Cruz,-51.6188993,-69.2325928
FS 2018 - FEDE S.R.L.,SAN MARTIN 1312 ESQ. ENTRE RIOS,TRELEW,Chubut,-43.2581280,-65.3235660
FS 2018 - MASTER OIL S.A.,SAN MARTIN Y PUEYRREDON,PUERTO DESEADO,Santa Cruz,-47.7502230,-65.9031660
FS 2018 - MORONI Y TORRES S.H.,CENTENARIO Y SOB. NACION.,TRELEW,Chubut,-43.2567940,-65.3019930
FS 2018 - MORONI Y TORRES S.H.,AV GRAL ROCA Y VILLARINO,PUERTO MADRYN,Chubut,-42.7765770,-65.0265940
FS 2018 - MACRA S.R.L.,PERITO MORENO 260,LAS HERAS,Santa Cruz,-46.5396590,-68.9304950
"FS 2018 - GOICOECHEA JORGE M., JORGE I Y",RUTA 3 Y ACCESO AEROPUER.,COMODORO RIVADAVIA,Chubut,-45.7934020,-67.4919190
FS 2018 - LA URBANA S.R.L..,KENNEDY 3398,COMODORO RIVADAVIA,Chubut,-45.8820930,-67.5405040
FS 2018 - LANA ERNESTO JOSE,RUTA 3 KM 1470 (PROVINCIAL N°25),TRELEW,Chubut,-43.2823990,-65.2640000
FS 2018 - COMBUSTIBLES PATAGONICOS S.A.,HIPOLITO YRIGOYEN (RUTA 3 KM. 1848) 5353,COMODORO RIVADAVIA,Chubut,-45.9012485,-67.5557364
NTI 2018 - ROCCA SUR SRL/NTI Dina Huapi ,"LOS NOSTROS 277 RUTA NAC. 40 KM 2053,69",PILCANIYEN - DINA HUAPI,Rio Negro,-41.0711990,-71.1686110
NTI 2018 - ARBIZU-PAGELLA SRL,"RUTA NACIONAL 3 KM 810,5",PRADERE,Buenos Aires,-39.5368395,-62.6796680
NTI 2018 - DIONE,"RUTA 3 SUR KM 2,5",SAN LUIS,San Luis,-33.3334000,-66.3205000
NTI 2018 - Busema Luz Maria y Ballesteros Mario Juan SH,DR MARCOS PAZ 1222,MARCOS PAZ - GBA,Buenos Aires,-34.7771693,-58.8284083
NTI 2018 - FULL PETROL (Virasoro),RUTA NACIONAL 14 KM 747,VISARORO,Corrientes,-28.0514030,-56.0132480
NTI 2018 - MAXFA SA,ISIDORO BUSQUETS 650 ,JUNIN,Mendoza,-33.0990231,-68.4785435
NTI 2018 - BENZIN S.R.L., AV. O’HIGGINS 5375 ,CÓRDOBA,Córdoba,-31.4745660,-64.1684040
NTI 2018 - Del Sordo Donata Rinaldi,VERGARA 3036,HURLINGHAM - GBA,Buenos Aires,-34.6059400,-58.6353600
NTI 2019 - LA ROTONDA SRL,AV. NESTOR KIRCHNER Y BLAS PARERA,FORMOSA,Formosa,-26.1872840,-58.2093220
NTI 2018 - SHANKO,RUTA NACIONAL N°9 Y RUTA PROVINCIAL Nº208,SANTIAGO DEL ESTERO,Santiago del Estero,-27.7719060,-64.3448120
NTI 2018 - CARDINAL LOS ARCOS,AV. BELGRANO 4051 ESQUINA PARAGUAY ,SANTIAGO DEL ESTERO,Santiago del Estero,-27.8244526,-64.2470709
NTI 2018 - QUICA SA,AV. CENTENARIO Y 466  ,CITYBELL,Buenos Aires,-34.8639270,-58.0466473
NTI 2018 - SERVISOL,CALLE 131 ESQ.CALLE 62,LA PLATA,Buenos Aires,-34.9459060,-57.9643550
NTI 2018 - ESTACION FIAMA SRL,RUTA NAC 197 Y EL CALLAO 0,GRAND BOURG - GBA,Buenos Aires,-34.5024028,-58.7140119
NTI 2018 - MILENIA ENERGIA,AVENIDA PAISANDU ESQUINA CRUZ DEL SUR,CORRIENTES,Corrientes,-27.4996357,-58.8254293
NTI 2018 - RUMBO SUR,CNEL MOLDES 1645,CNEL. DORREGO,Mendoza,-32.9145800,-68.8241680
NTI 2019 - D´ATRI NORDELTA,AGUSTIN M. GARCIA 9647,BENAVIDEZ - GBA,Buenos Aires,-34.3926450,-58.6631740
NTI 2019 - OLIVOS COMBUSTIBLES,PELLIZA 3892,OLIVOS - GBA,Buenos Aires,-34.5183000,-58.5142500
NTI 2020 - BEKAGRO SRL,PARCELA 03 PARTE DE LA MANZANA W PA,LA BANDA,Santiago del Estero,-27.7643590,-64.2491770
NTI 2018 - EL GUAYACAN SRL,RUTA NACIONAL 89 KM 384,QUIMILI,Santiago del Estero,-27.6570479,-62.4250014
NTI 2018 - SCHOLLES OMAR ALBERTO - CAMPO GRANDE,"RUTA NAC. 14 KM 913,5",CAMPO GRANDE,Misiones,-27.2206900,-54.9725300
SCHOLLES OMAR ALBERTO,RUTA NAC. 14 KM.1260,SAN VICENTE,Misiones,-27.0001012,-54.4944729
NTI 2018 - TOTAL GNC,CNO. CENTENARIO 785 Y CALLE 422,VILLA ELISA,Buenos Aires,-34.8553440,-58.0748670
NTI 2018 - MOSCONI SRL,AV. GRAL MOSCONI 1015,LOMAS DEL MIRADOR - GBA,Buenos Aires,-34.6631470,-58.5384520
RILEO SRL,INDEPENDENCIA 908,SANTIAGO DEL ESTERO,Santiago del Estero,-27.7959960,-64.2507450
NTI 2019 - SERVIDUAL LUJAN,"ACCESO OESTE KM 65,5",LUJAN - GBA,Buenos Aires,-34.5594540,-59.0917190
NTI 2019 - PETROLF NORTE SRL,AV. 25 DE MAYO 4060 ,RESISTENCIA,Chaco,-27.4177780,-59.0236280
NTI 2020 - PARQUE BELLA VISTA,GASPAR CAMPOS 1665,BELLA VISTA - GBA,Buenos Aires,-34.5659200,-58.7020270
NTI 2019 - SAN GUILLERMO,SANTA FE Y ANGELA DE LA CASA,SAN GUILLERMO,Santa Fe,-30.3683000,-61.9127000
NTI 2019 - GOICOCHEA,RUTA 1 KM 80,ESCALANTE,Chubut,-45.8007100,-67.4245150
NTI 2019 - GNC DEL OESTE SRL,AV. RATTI 2087,ITUZAINGO - GBA,Buenos Aires,-34.6464250,-58.6890260
NTI 2019 - ALVALL SRL (ZAPALA),BERNARDO HOUSSAY Y LIBANO,ZAPALA,Neuquen,-38.8986111,-70.0638888
NTI 2019 - CONCORD GAS SA (DELTA GNC),SAAVEDRA 64,MENDOZA,Mendoza,-32.8916080,-68.8297220
GEO LATITUD SRL - CODO PARANA,BUENOS AIRES Y CERVANTES,PARANA,Entre Rios,-31.7299530,-60.5310780
NTI 2020 - CORS AUBASA (VIA BS AS),RUTA NACIONAL 1 - AUTOPISTA DR RICARDO BALBIN - KM28 SENTIDO LA PLATA - BS AS,BERAZATEGUI - GBA,Buenos Aires,-34.7622409,-58.1785021
NTI 2020 - CORS AUBASA (VIA LA PLATA),RUTA NACIONAL 1 - AUTOPISTA DR RICARDO BALBIN - KM28 SENTIDO BS AS - LA PLATA,BERAZATEGUI - GBA,Buenos Aires,-34.7626640,-58.1792531
NTI 2019 - PIEDRA DEL AGUILA,RUTA NACIONAL 237 KM 1446,PIEDRA DEL AGUILA,Neuquen,-40.0426920,-70.0721530
NTI 2019 - EL TRIANGULO TERMINAL DE CAMIONES,RUTA 3 Y RUTA 252,BAHIA BLANCA,Buenos Aires,-38.7546730,-62.2033380
NTI 2019 - ZEBALLOS,ZEBALLOS 2188,CASTELAR - GBA,Buenos Aires,-34.6594200,-58.6355700
NTI 2019 - VICTORICA,VICTORICA 47,MORENO - GBA,Buenos Aires,-34.6481630,-58.7967260
NTI 2019 - FADEL,"RUTA NAC 14KM 150,5 Y ACCESO A COLON",COLON,Entre Rios,-32.2704500,-58.2398700
NTI 2019 - RSD EMPRENDIMIENTOS,RUTA NACIONAL 9 KM 751,COLONIA CAROYA,Córdoba,-30.9957670,-64.1024060
NTI 2019 - EL TRIANGULO ROCCA SUR SRL,PASAJE GUTIERREZ 3490,BARILOCHE,Rio Negro,-41.1601610,-71.3172170
NTI 2019 - BORDAQUEVICH,RP 2 Y ALMAFUERTE,CONCEPCIÓN DE LAS SIERRAS,Misiones,-27.9761111,-55.5231917
NTI 2019 - PETRONORTE SA (TUCUMAN),RUTA PROV 301 KM 0.201,SAN MIGUEL DE TUCUMÁN,Tucumán,-26.8356300,-65.2605100
NTI 2019 - GESAL SA,RUTA PROVINCIAL N5 Y AV. OJO DE AGUA,VILLA GENERAL BELGRANO,Córdoba,-31.9806310,-64.5515070
NTI 2019 - DEL SORDO (LUJAN),AV. CONSTITUCIÓN 1885,LUJAN - GBA,Buenos Aires,-34.5688100,-59.0951900
