Name,Dirección,Ciudad,Provincia,LATITUD,LONGITUD
YAPAI SRL - SUCESOR DE 157975,MORENO Y MITRE,GRAL VILLEGAS,Buenos Aires,-35.0352500,-63.0049080
ROSARIO DUAL SA  2 Rosario,BV. SEGUI Y AVELLANEDA,ROSARIO,Santa Fe,-32.9716470,-60.6869470
SERVICENTRO SAN RAFAEL,AV. H.YRIGOYEN ESQ. GERONIMO ESPEJO,SAN RAFAEL,Mendoza,-34.6094200,-68.3483100
RUTA 12 SA,RUTA NACIONAL 12    KM 78.5,CAMPANA - GBA,Buenos Aires,-34.1653850,-58.9771190
RUTA UNO SRL,RUTA PROV.1 Y ENLACERUTA PROV. 5,MERLO,San Luis,-32.3487139,-65.0154972
COMBUSTIBLES EL TREBOL SAS,RUTA 7 KM. 695.2,MERCEDES,San Luis,-33.6473860,-65.4552360
SAO COMB SOCIEDAD ANONIMA,BELGRANO Y ALEMANDRI,S ANTONIO OESTE,Rio Negro,-40.7305560,-64.9530560
GEMACO SOCIEDADE ANONIMA,CDTE N. QUENON ESQ. JM ESTRADA,RIO CUARTO,Córdoba,-33.1364833,-64.3674917
SAN JOSE SH - ANA VILLAR,AV. MITRE 3202,MUNRO - GBA,Buenos Aires,-34.5220126,-58.5226331
AGAF SA,AV.FUERZA AEREA 4510,CORDOBA RADIO CIUDAD,Córdoba,-31.4323690,-64.2458310
GRUPO SAN EDUARDO SAS,BV. GUZMAN Y ALVEAR,CORDOBA RADIO CIUDAD,Córdoba,-31.4074900,-64.1776900
CORS BULNES - 199969,BULNES 204 ESQUINA LUQUE,CORDOBA RADIO CIUDAD,Córdoba,-31.4000890,-64.1733470
FOURMAX,RUTA NAC. 9 - KM.206,RAMALLO,Buenos Aires,-33.5429337,-60.0989446
SCHOLLES OMAR ALBERTO,RUTA NAC. 14 KM 1048 Y ACCESO A SAN PEDRO,SAN PEDRO,Misiones,-26.6157330,-54.1129170
JOSE AFID SCHAMUN SRL,SENADOR SALIM Y RUTA 157,FRIAS,Santiago del Estero,-28.6386681,-65.1147366
